Question,Count
Which part of the body does this image belong to?,257
What modality is used to take this image?,236
What is the largest organ in the picture?,199
What diseases are included in the picture?,163
Does the picture contain liver?,130
Where is/are the abnormality located?,126
Does the picture contain spleen?,107
Does the picture contain kidney?,101
Does the picture contain heart?,96
Does the picture contain lung?,94
What is the scanning plane of this image?,93
What is the mr weighting in this image?,76
Is the lung healthy?,74
What is the main organ in the image?,72
How many kidneys in this image?,62
Are there abnormalities in this image?,60
"Which organ is abnormal, heart or lung?",54
Where is the liver?,50
Which organ system is imaged?,43
What is the organ on the top of the body in this image?,42
What organ system is pictured?,39
How much damage will be caused to the body taking such an image?,37
Does this image look abnormal?,36
What organ system is primarily present in this image?,35
How many organs are there in this image?,34
How many lungs are shown in this image?,34
What is the organ system visualized?,32
Where does the picture show?,31
Does the picture contain brian?,31
Is the liver healthy?,30
What is the rightmost organ in this image?,30
What is the organ on the left side of this image?,29
Which part do the organs in this image locate from the aspect of the whole body?,28
How many kinds of abnormalities are there in this image?,28
In what plane is this image scanned?,27
What color does the left lung show in the picture?,26
What modality is shown in this image?,26
Which organs/organ is part of the respiratory system in this image?,26
Which part of the human body is the organ located in the image?,26
How was this image taken?,26
Where does the image represent in the body?,26
Does this image look normal?,25
What scanning plane does this image belong to?,25
Is this a study of the chest?,23
"Which plane is the image scanned, transverse plane or coronal plane?",22
Is this sagittal plane?,21
What color is the lung in the picture?,21
What organ is the gray part on the left of the image?,20
Which organs appear in pairs?,19
Which organs/organ in the picture belong to the circulatory system?,19
Which organs/organ in the picture belong to the respiratory system?,19
What color does the right lung show in the picture?,19
Is the brain healthy?,19
What organ is the black part on the left of the image?,18
Where is the abnormality in this image?,18
How many existing heart in this image?,18
Is this a transverse plane?,18
Is this a study of the head?,18
Which organs/organ in the picture belong to the digestive system?,18
Does the brain look abnormal?,18
"Which is the biggest in this image,lung,liver or heart?",17
Is this image normal?,17
Is this a transverse section?,17
What is the function of the main organ in this picture?,15
Is the lung abnormal?,15
Is this a coronal section?,15
What type of MRI is shown in this image?,15
Which organs/organ is part of the digestive system in this image?,15
What is the effect of the main organ in this picture?,14
What imaging modality was used?,14
Is this image taken via X-Ray?,14
Does the picture contain spinal cord?,14
Is/Are there abnormalities in the patient's right lung?,13
Is this a CT?,13
Which organs/organ is part of the circulatory system in this image?,13
Is this a study of the neck?,13
What is the shape of the kidney in the picture?,12
Is this image taken via CT?,12
"Which type of modality is shown about this image, MRI, CT or X-Ray?",12
What is the effect of the center organ in this picture?,12
Is there a liver in the image?,12
How to treat the most severe disease in this image?,12
Is this a study of the pelvic cavity?,11
What can the organ with black color in this image be used for?,11
How to treat the disease located on the left of lung in this image?,11
Do the organs in the image exist in the pelvic cavity?,11
Do the organs in the image exist in the head?,11
Is there small bowel in this image?,11
Do any of the organs in the picture belong to the urinary system?,11
Is this an MRI image with T2 weighted?,11
Does the picture contain colon?,11
Does the lung look abnormal?,10
"Which is bigger in this image, liver or spleen?",10
Do the organs in the image exist in the chest?,10
Is this a coronal plane?,10
How many existing lungs in this image?,10
Is this a X-Ray?,10
What type of medical image is this?,10
Does the stomach appear in the image?,10
Which organs/organ in the picture belong to the nervous system?,10
What is the function of the organ on the top of this image?,10
Are/Is there kidneys in the picture?,10
Is this an MRI image with T1 weighted?,10
Is this an MRI scan?,9
Where is/are the abnormality located in this picture?,9
"Which side of lung is abnormal in this image,left or right?",9
Is this a study of the abdomen?,9
Is this an MRI?,9
Are there organs in the picture that can perceive things?,9
Does the larynx appear in the image?,9
Do any of the organs in the picture belong to the digestive system?,9
"Which kind of weighting is this image generated with, t1 or t2?",9
Where is the brain edema?,9
Does the picture contain the organ which has the effect of excreting feces?,9
What is the organ located in the lower right corner?,8
Is the lung normal appearing?,8
Where is the heart in this image?,8
Do the organs in the image exist in the abdomen?,8
Do the organs in the image exist in the neck?,8
Does the humerus head exist in this picture?,8
Does the picture contain mandible?,8
Do any of the organs in the picture belong to the respiratory system?,8
Are there organs in the picture that can detoxicate?,8
Is this a T1 weighted or T2 weighted MRI image?,8
What disease is/are shown on the right of brain?,8
"Which is bigger in this image, kidney or liver?",7
Does the spleen look normal?,7
Which is the kidney?,7
Which lobe is abnormal in this image?,7
Is/Are there abnormalities in the patient's left lung?,7
Does the patient have any abnormalities?,7
Is this a CT scan?,7
Which organs/organ in the picture belong to nervous system?,7
Does the temporal lobe appear in this image?,7
Does the picture contain the organ that could be used for absorbing nutrients?,7
Is there femoral head in this picture?,7
Where are the abnormalities in this image?,7
Are there organs in the picture that can digest food?,7
"Which is bigger in this image, heart or lung?",6
Does the kidneys look abnormal?,6
Does the patient have liver cancer?,6
What is the main cause of the disease on the lower left of the lung in the picture?,6
Which lobe is normal in this image?,6
Can pneumonia be observed on the lower right lung in this picture?,6
Which side of lung is abnormal in this image?,6
Is this image taken via MRI?,6
Where is the brain stem in this image?,6
Does the picture contain brain stem?,6
Does the parotid appear in the image?,6
Does the trachea exist in this picture?,6
Does the rectum appear in this picture?,6
What is the shape of spinal cord in this image?,6
Do any of the organs in the picture belong to the lymphatic system?,6
What is the color of abnormality in this image?,6
"Which lobe is abnormal,left or right?",6
Which organs/organ is part of the nervous system in this image?,6
How many lungs have existed in this image?,6
"Which is bigger in this image, kidney or spleen?",5
"Which is bigger in this image, liver or heart?",5
Does the picture contain the organ that could receive sound?,5
Does the picture contain the organ which has the effect of sensing light?,5
Does the picture contain the organ that could be used for digesting food?,5
Are there some organs controlling heartbeat and breathing in this image?,5
Is there an esophagus in this image?,5
"Which hemisphere is abnormal,left or right?",5
Is the tumor enhancing?,5
Which hemisphere is normal?,5
Is/Are there abnormalities in the patient's right brain lobe?,5
Where is the brain non-enhancing tumor?,5
Are there organs in the picture that can absorb nutrients?,5
Which organs/organ in the picture belong to the urinary system?,5
Where is the spleen in this image?,5
Where is the liver in this image?,5
Does the picture contain bladder?,5
How many kidneys are there in this image?,4
What organ is the black hole in the upper right corner?,4
Which is the liver?,4
Does the picture contain stomach?,4
What organ is the white part on the top of the image?,4
Can mass be observed on the lower right lung in this picture?,4
Can nodule be observed on the upper right lung in this picture?,4
What disease is/are shown on the right of lung?,4
How to treat the disease located on the right of lung in this image?,4
Where is/are the pneumonia located?,4
What disease is/are shown on the left of lung?,4
Where is the mass in this image?,4
What part of the lung is the atelectasis located in?,4
What is the main cause of the disease on the lower right of the lung in the picture?,4
Does the picture contain the organ which has the effect of storing urine?,4
Do any of the organs in the picture belong to the nervous system?,4
Does the picture contain the organ that could be used for detoxicating?,4
What is the shape of tooth in this image?,4
Which is larynx in this image?,4
Does the lung exist in this picture?,4
What is the shape of larynx about this patient?,4
Does the picture contain the organ which has the effect of gas delivery?,4
Does the picture contain eyes?,4
Does the picture contain the organ that could be used for secreting enzymes?,4
What organ is the on the top of the image?,4
Are there organs in the picture that can deliver food?,4
Does the picture contain the organ that could be used for discharging waste?,4
What is the effect of the organ on the top of this image?,4
Does the picture contain the organ that could promote blood flow?,4
Does the picture contain the organ which has the effect of detoxicating?,4
Can brain edema be observed in the picture?,4
What kind of symptoms will the disease on the right lobe of brain in the picture bring to the patient?,4
Where is the brain tumor located?,4
Where is the brain tumor?,4
Where is the brain edema located?,4
What disease is/are shown on the left of brain?,4
Is the abnormality hyperdense or hypodense?,4
Does the patient have brain tumor?,4
What kind of symptoms will the disease on the left lobe of brain in the picture bring to the patient?,4
What is the main cause of the disease on the left lobe of brain in this picture?,4
How to prevent the occurrence of the disease on the upper right lobe of brain in this image?,4
Which is the kidney in this image?,4
What is the effect of the gray organ on the left of this picture?,4
How many kidneys have existed in this image?,4
What is the function of the rightmost organ in this picture?,4
What is the effect of the leftmost organ in this picture?,4
Are there organs in the picture that can promote blood flow?,4
Does the lung look normal?,3
Is the lung unhealthy?,3
"Which is bigger in this image, lung or liver?",3
What are the white veins in the black part of the body?,3
"Which is the biggest in this image, liver, spleen or kidney?",3
What organ is the black part on the right of the image?,3
What are the white veins in the black part of the body in this image?,3
What organ is the black part of the image?,3
Does the picture contain esophagus?,3
What organ is the black hole on the top of body?,3
Where is/are the cardiomegaly located?,3
What is the main cause of the disease on the upper left of the lung in the picture?,3
Can atelectasis be observed on the lower right lung in this picture?,3
How to prevent the occurrence of the disease on the heart in this image?,3
What kind of symptoms will the disease on the lower right of lung bring to the patient?,3
What kind of symptoms will the disease on the lower left of lung bring to the patient?,3
Can atelectasis be observed on the lower left lung in this picture?,3
How to prevent the occurrence of the disease on the right lobe of lung in this image?,3
How to prevent the occurrence of the disease on the lower left lobe of lung in this image?,3
Can pneumonia be observed on the upper left lung in this picture?,3
What part of the lung is the pneumonia located in?,3
How many eyes are shown in this image?,3
Which organs/organ in the picture belong to sensory organs?,3
Does the picture contain the organ that could be used for breathing?,3
Does the picture contain the organ which has the effect of adjusting water and osmotic pressure balance?,3
Does the picture contain the organ which has the effect of digesting food?,3
How many temporal lobes in this image?,3
What is the function of the organ on the center of this image?,3
Does the picture contain the organ which has the effect of discharging waste?,3
What organ marks the lower end of the organ system?,3
What color does the spinal cord show in the picture?,3
Does the picture contain the organ that could be used for excreting body waste?,3
What color does the mandible show in the picture?,3
Which is trachea in this image?,3
Is brain tumor white or gray relative to other tissues?,3
What disease is/are shown on the upper left of brain?,3
Is the brain normal appearing?,3
How to prevent the occurrence of the disease on the right lobe of brain in this image?,3
How to prevent the occurrence of the disease on the left lobe of brain in this image?,3
What kind of symptoms will the disease on the upper right lobe of brain in the picture bring to the patient?,3
Which place does the colon locate in this image?,3
What color is the spleen in this image?,3
What is the effect of the black organ on the left of this picture?,3
Does the picture contain the organ which has the effect of improving the body's immunity?,3
What color is the liver in the picture?,3
What is the function of the organs appearing in pairs in the picture?,3
Where is rectum in this image?,3
How many femoral heads are shown in this image?,3
What is the effect of the dark gray organ on the center of this picture?,3
Where is the bladder existing in this image?,3
"Which is the smallest in this image, rectum, small bowel or bladder?",3
"Which is smaller in this image, colon or small bowel?",3
"Which is the bigger in this image, lung or heart?",2
Does the lung look healthy?,2
"Which is bigger in this image, lung or heart?",2
"Which is bigger in this image, spleen or liver?",2
"Which is bigger in this image, liver or kidney?",2
Is this image abnormal?,2
"Which is bigger in this image, liver, heart or lung?",2
"Which is bigger in this image, liver or heart ?",2
What organ is the gray part on the lower left of the image?,2
What is the lower right organ in this image?,2
What is the leftmost organ in this image?,2
What organ is the gray part on the right of the image?,2
What part of the lung is the nodule located in?,2
Can nodule be observed on the lower left lung in this picture?,2
Where is/are the mass located?,2
Can cardiomegaly be observed on the lower right lung in this picture?,2
Where is the atelectasis in the lung?,2
Where is the cardiomegaly in this image?,2
Can cardiomegaly be observed on the upper left lung in this picture?,2
Where is the mass in the lung?,2
Can mass be observed on the upper left lung in this picture?,2
What is the main cause of the disease on the right of the lung in the picture?,2
Can nodule be observed on the upper left lung in this picture?,2
Where is the atelectasis in this image?,2
What is the main cause of the disease on the upper right of the lung in the picture?,2
Where is the nodule in this image?,2
Can pneumonia be observed on the upper right lung in this picture?,2
Can mass be observed on the left lung in this picture?,2
What kind of symptoms will the disease on the left of lung bring to the patient?,2
Where is the pleural effusion in this image?,2
What color is the right lung in the picture?,2
Which side of chest is abnormal in this image?,2
What part of the chest is the cardiomegaly located in?,2
What part of the lung is the infiltration located in?,2
Where is the pneumothorax in the lung?,2
Can mass be observed on the lower left lung in this picture?,2
How to treat the disease located on the lower right of lung in this image?,2
Does the kidneys look normal?,2
Where is the pneumonia in the lung?,2
Can cardiomegaly be observed in this picture?,2
Does the picture contain duodenum?,2
What is the shape of eyes in this image?,2
Does the picture contain the organ which has the effect of secreting enzymes?,2
How many existing parotids in this image?,2
What is the function of the tissue in the center of the organ in this picture?,2
Does the picture contain the tissue that is related with remembering things?,2
Are there organs in the picture that can adjust water and osmotic pressure balance?,2
What organ is the on the right of the image?,2
What color does the left temporal lobe show in the picture?,2
How many ears are shown in this image?,2
How many parotids are shown in this image?,2
Does the ears exist in this picture?,2
What is the shape of mandible about this patient?,2
What color does the larynx show in the picture?,2
What is the function of the black hollow tissue in this picture?,2
What role does the black hollow tissue play in the human body?,2
What is the shape of trachea about this patient?,2
What density is the abnormality?,2
What is the main cause of the disease on the upper left lobe of brain in this picture?,2
Which lobe is abnormal?,2
What color does the brain edema show in the picture?,2
Where is the brain enhancing tumor?,2
How to prevent the occurrence of the disease on the upper left lobe of brain in this image?,2
Is the brain non-enhancing tumor hyperdense or hypodense?,2
Is/Are there abnormalities in the patient's left brain lobe?,2
What is the color of brain enhancing tumor in this image?,2
How to prevent the occurrence of the disease on the lower left lobe of brain in this image?,2
What is the function of the top organ in this picture?,2
Are there organs in the picture that can discharge waste?,2
What organ is the black hollow in the upper right corner?,2
What is the shape of kidney in the picture?,2
Which organs appear in pairs in this image?,2
"Which is bigger in this image,small bowel or kidney?",2
Where is the small bowel in this image?,2
What is the effect of the gray organ on the lower right of this picture?,2
Which place does the small bowel locate in this image?,2
"Where is the spleen in this image, right or lower right?",2
Do any of the organs in the picture belong to the circulatory system?,2
Are there organs in the picture that can secrete enzymes?,2
Where is the colon in this image?,2
What color is the colon in the picture?,2
"Which is bigger in this image, heart or liver?",2
How many kidneys does the image have?,2
What color is the heart in the picture?,2
What are the white points in the black part of the body in this image?,2
Does the rectum appear in the image?,2
What organ is the gray part on the center of the image?,2
Does the picture contain small bowel?,2
"Which is bigger in this image, bladder or small bowel?",2
Which organ is located at the bottom of this image?,2
What color is the bladder in the picture?,2
What is the function of the organ on the bottom of this picture?,2
What is the effect of the gray organ on the bottom of this picture?,2
Does the femoral head exist in this picture?,2
What is the shape of femoral head in this image?,2
Does the rectum exist in this picture?,2
Where is the small bowel existing in this image?,2
"Which is bigger in this image, colon or small bowel?",2
Does the brain look healthy?,2
"Which is the bigger in this image,lung or heart?",1
Does spleen look abnormal?,1
Where is the spleen?,1
"Which is bigger in this image,lung or heart?",1
Is the spleen healthy?,1
Are the kidneys healthy?,1
What is the organ on the left of the right kidney?,1
"Which is bigger, liver or spleen?",1
What is the organ located in the lower right corner of the body in this image?,1
"Which is the biggest in this image, lung, heart or liver?",1
What is the organ on the lower right side of this image?,1
"Which is bigger in this image, left kidney or spleen?",1
Does the liver look normal?,1
Does the kidney look normal?,1
What organ is the black hole of the body?,1
"Which is bigger in this image, liver or right kidney?",1
"Which is bigger in this image, liver, spleen or kidney?",1
Where are/is the kidney?,1
What organ is the gray part on the top left of the image?,1
What is the lower right organ with the gray color in this image?,1
What organ is on the left of the image?,1
What organ is the black part on the lower right of the image?,1
What are the white points in the black part of the body?,1
"Which is bigger in this image, spleen or kidney?",1
Does the picture contain spine cord?,1
"Which is bigger in this image, liver or kidney ?",1
What is the organ on the lower right of the body in this image?,1
What is the white outline of the image?,1
Does this patient have liver cancer?,1
"Which is bigger in this image, liver, spleen or lung?",1
Is the kidney healthy?,1
What does the black hole located at the top of the body represent?,1
What is the rightmost organ with gray color in this image?,1
What does the organ the black hole on the top of the body represent?,1
What is the organ on the right side of this image?,1
What is the organ located in the lower left corner?,1
How to prevent the occurrence of the disease on the upper right lobe of lung in this image?,1
How to prevent the occurrence of the disease on the center of this image?,1
Where is the pneumothorax located in the lung?,1
What kind of symptoms will the disease on the heart in this image bring to the patient?,1
Where is/are the infiltration located?,1
Can infiltration be observed on the upper right lung in this picture?,1
What disease is/are shown on the heart?,1
What kind of symptoms will the disease on the heart bring to the patient in this image?,1
Where is/are the pulmonary nodule located?,1
Where is the nodule in the lung of this image?,1
Where is the pulmonary nodule in this image?,1
Which part of the chest is the effusion located in?,1
Is/Are there abnormalities in the patient's left chest?,1
Can effusion be observed on the right chest in this picture?,1
What is the main cause of the disease on the left of the chest in the picture?,1
What part of the lung is the mass located in?,1
Where is the pneumonia in the lung of this image?,1
Can mass be observed on the upper right lung in this picture?,1
What disease is/are shown on the right of chest?,1
Can pleural effusion be observed on the left chest in this picture?,1
What kind of symptoms will the disease on the right of chest bring to the patient?,1
Can atelectasis be observed on the upper left lung in this picture?,1
Where is/are the atelectasis located in this image?,1
Where is/are the pulmonary nodule located in this image?,1
What part of the lung is the mass located in in this image?,1
Can mass be observed on the right lung in this picture?,1
What disease is/are shown on the left of chest?,1
Can pneumothorax be observed on the upper right lung in this picture?,1
What disease is/are shown in this picture?,1
How to treat the disease located in the center of this image?,1
Can infiltration be observed on the upper left lung in this picture?,1
Can nodule be observed on the left lung in this picture?,1
Can pneumothorax be observed on the upper left lung in this picture?,1
Where is the nodule?,1
Can atelectasis be observed on the upper right lung in this picture?,1
What disease is/are shown about the lung?,1
What disease is/are shown on the upper left of lung?,1
How to prevent the occurrence of the disease on the upper left lobe of lung in this image?,1
Can infiltration be observed on the lower right lung in this picture?,1
Can cardiomegaly be observed on the heart in this picture?,1
Where is the pneumonia in this image?,1
How to prevent the occurrence of the disease on the left lobe of lung in this image?,1
Can pneumonia be observed on the left lung in this picture?,1
Where is the cardiomegaly located in this image?,1
What disease is/are shown in this image?,1
Can cardiomegaly be observed on the left lung in this picture?,1
What is the main cause of the disease on the left of the lung in the picture?,1
Where is the effusion?,1
Can effusion be observed on the left lung in this picture?,1
Does the spleen look abnormal?,1
Can pneumothorax be observed on the right lung in this picture?,1
What kind of symptoms will the disease on the right lung bring to the patient?,1
What disease is/are shown on the lower left of lung?,1
Can nodule be observed on the lower right lung in this picture?,1
Where is the pneumonia?,1
Which part of chest is abnormal in this image?,1
Where is/are the cardiomegaly located in this image?,1
What kind of symptoms will the disease on the heart bring to the patient?,1
Where is/are the effusion located?,1
Can effusion be observed on the lower left lung in this picture?,1
Where is the effusion in the lung?,1
Can effusion be observed on the lower right lung in this picture?,1
Is the liver not healthy?,1
What part of the lung is the effusion located in?,1
What disease is/are shown on the lower right of lung?,1
Can effusion be observed on the upper left lung in this picture?,1
What part of the chest is the effusion located in?,1
Can effusion be observed on the upper right lung in this picture?,1
Where are the eyes in this image?,1
What color do the eyes show in the picture?,1
What is the function of the tissue on the left of this picture?,1
What color does the brain stem show in the picture?,1
What color are the eyes in the picture?,1
What is the shape of eyes about this patient?,1
What color are the temporal lobes in the picture?,1
What is the effect of the tissue on the left of this picture?,1
Does the picture contain ears?,1
What color is the right temporal lobe in the picture?,1
What color do the ear show in the picture?,1
What is the function of the tissue on the center of this picture?,1
What color are the mandible in the picture?,1
Where is the tooth in this image?,1
What color do the larynx show in the picture?,1
What color does the tooth show in the picture?,1
Does the picture contain the organ which has the effect of excreting body waste?,1
What color do the spinal cord show in the picture?,1
How many mandibles in this image?,1
What color are the teeth in the picture?,1
Where is the spinal cord in this image?,1
What organ is on the bottom of the image?,1
What organ is the black hole on the top of the image?,1
What is the effect of the black hollow tissue in this picture?,1
Where is the esophagus in this image?,1
Where is the trachea in this image?,1
What is the shape of esophagus about this patient?,1
What system does the organ located on the top of this image belong to?,1
What is the shape of spinal cord about this patient?,1
Does the spinal cord appear in this image?,1
What color do the trachea show in the picture?,1
What is the shape of trachea in this image?,1
How to treat the disease on the upper left of brain in this image?,1
Is there a brain tumor?,1
What kind of symptoms will the disease on the upper left lobe of organ in the picture bring to the patient?,1
What kind of symptoms will the disease on the top of brain in the picture bring to the patient?,1
How to prevent the occurrence of the disease on the top of brain in this image?,1
"Which lobe is abnormal, left or right?",1
Where is the brain edema in this image?,1
What is the main cause of the disease on the upper right lobe of brain in this picture?,1
What kind of symptoms will the disease on the lower right lobe of brain in the picture bring to the patient?,1
What color does the brain enhancing tumor show in the picture?,1
Is the brain abnormal?,1
Does the brain look normal?,1
Is there evidence of a brain edema?,1
What color does the brain non-enhancing tumor show in the picture?,1
What is the color of brain edema in this image?,1
What is the main cause of the disease on the lower right lobe of brain in this picture?,1
Which lobe is normal?,1
"Which is the biggest in this image,small bowel,left kidney or liver?",1
"Which is the biggest in this image,spleen,left kidney or liver?",1
"Which is smaller in this image,liver or lung?",1
"Which is smaller in this image,kidney or liver?",1
What is the function of the black hollow in the upper right corner of this image?,1
"Which is bigger in this image,left lung or left kidney?",1
What is the effect of the leftmost gray organ in this picture?,1
"Which is bigger in this image,liver or kidney?",1
"Which is smaller in this image,spleen or colon?",1
What is the function of the lower left organ in this picture?,1
"Which is the biggest in this image,spleen, stomach or liver?",1
"Which is smaller in this image,colon or spleen?",1
What organ is the black hollow on the top of this image?,1
"Where is the liver in this image,left,top or upper left?",1
"Which is the smallest in this image,small bowel,right kidney or liver?",1
What color is the duodenum in the picture?,1
"Which is smaller in this image,liver or spinal cord?",1
Which organs/organ is part of the urinary system in this image?,1
What is the organ on the center of the body in this image?,1
What color does the right kidney show in the picture?,1
"Which is smaller in this image, small bowel or right kidney?",1
"Which is smaller in this image,small bowel or kidney?",1
What is the shape of liver in this image?,1
"Which is bigger in this image,liver or right kidney?",1
"Which is smaller in this image, small bowel or liver?",1
How many kidneys are shown in this image?,1
What color does the left kidney show in the picture?,1
"Which is the smallest in this image,spleen,left kidney or liver?",1
"Which is bigger in this image, duodenum or kidney?",1
"Which is smaller in this image,spleen or duodenum?",1
What organ is the black part on the top of the image?,1
"Which is the biggest in this image, spleen, stomach or liver?",1
What is the effect of the top organ in this picture?,1
"Which is bigger in this image,liver or spleen?",1
What is the effect of the black hollow on the top of this picture?,1
Where is the stomach in this image?,1
What color does the liver show in the picture?,1
"Which is smaller in this image, stomach or spleen?",1
"Which is bigger in this image, spleen or left lung?",1
How many organs does the image have?,1
What is the shape of liver in the picture?,1
"Which is the biggest in this image, left lung, spleen or liver?",1
What is the effect of the black organ on the right of this picture?,1
"Which is the smallest in this image, colon, left lung or liver?",1
"Which is bigger in this image,heart or liver?",1
"Which is bigger in this image,liver or heart?",1
"Which is smaller in this image,liver or right lung?",1
"Which is bigger in this image, heart or right lung?",1
What is the effect of the gray organ on the center of this picture?,1
Where is bladder in this image?,1
Does the bladder exist in this picture?,1
Where is small bowel in this image?,1
What organ is the dark gray part on the center of the image?,1
"Which is the biggest in this image, bladder, small bowel or rectum?",1
Where is the rectum in this image?,1
"Which is smaller in this image, bladder or small bowel?",1
Does the picture contain the organ that could store urine?,1
What color does the right femoral head show in the picture?,1
"Which is smaller in this image, bladder or rectum?",1
What tissue is the white part on the right of the image?,1
"Which is bigger in this image, bladder or rectum?",1
What color does the left femoral head show in the picture?,1
Is there colon in this picture?,1
What is the function of the black hollow on the center of this image?,1
Where is the colon existing in this image?,1
What organ is the black hollow on the bottom of this image?,1
What is the effect of the organ on the bottom of this picture?,1
What organ is the gray part on the top of the image?,1
Does the femoral head appear in this image?,1
What is the effect of the gray organ on the right of this picture?,1
Does the spinal cord appear in this picture?,1
Is the liver normal in this image?,1
